MODEL,PARAMETERS,PRECISION,RECALL,AUC,F1,ACCURACY,Time
KNN,"{'algorithm': 'ball_tree', 'weights': 'distance', 'n_neighbors': 5}",0.872340425532,0.611940298507,0.505970149254,0.719298245614,0.584415584416,0.0041103363037109375
KNN,"{'algorithm': 'ball_tree', 'weights': 'uniform', 'n_neighbors': 10}",0.88,0.328358208955,0.514179104478,0.478260869565,0.376623376623,0.004278421401977539
KNN,"{'algorithm': 'ball_tree', 'weights': 'distance', 'n_neighbors': 10}",0.866666666667,0.582089552239,0.491044776119,0.696428571429,0.558441558442,0.0042724609375
KNN,"{'algorithm': 'ball_tree', 'weights': 'uniform', 'n_neighbors': 25}",1.0,0.10447761194,0.55223880597,0.189189189189,0.220779220779,0.004353046417236328
KNN,"{'algorithm': 'ball_tree', 'weights': 'distance', 'n_neighbors': 25}",0.882352941176,0.44776119403,0.523880597015,0.594059405941,0.467532467532,0.004471540451049805
KNN,"{'algorithm': 'kd_tree', 'weights': 'uniform', 'n_neighbors': 1}",0.862068965517,0.746268656716,0.473134328358,0.8,0.675324675325,0.004201412200927734
KNN,"{'algorithm': 'kd_tree', 'weights': 'distance', 'n_neighbors': 1}",0.862068965517,0.746268656716,0.473134328358,0.8,0.675324675325,0.004228353500366211
KNN,"{'algorithm': 'kd_tree', 'weights': 'uniform', 'n_neighbors': 5}",0.880952380952,0.55223880597,0.526119402985,0.678899082569,0.545454545455,0.005095958709716797
KNN,"{'algorithm': 'kd_tree', 'weights': 'distance', 'n_neighbors': 5}",0.872340425532,0.611940298507,0.505970149254,0.719298245614,0.584415584416,0.005130767822265625
KNN,"{'algorithm': 'kd_tree', 'weights': 'uniform', 'n_neighbors': 10}",0.947368421053,0.268656716418,0.584328358209,0.418604651163,0.350649350649,0.005301475524902344
KNN,"{'algorithm': 'kd_tree', 'weights': 'distance', 'n_neighbors': 10}",0.897435897436,0.522388059701,0.561194029851,0.660377358491,0.532467532468,0.005330562591552734
KNN,"{'algorithm': 'kd_tree', 'weights': 'uniform', 'n_neighbors': 25}",1.0,0.10447761194,0.55223880597,0.189189189189,0.220779220779,0.00543522834777832
KNN,"{'algorithm': 'kd_tree', 'weights': 'distance', 'n_neighbors': 25}",0.882352941176,0.44776119403,0.523880597015,0.594059405941,0.467532467532,0.005517721176147461
RF,"{'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 1}",0.87012987013,1.0,0.5,0.930555555556,0.87012987013,0.13750767707824707
RF,"{'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 10}",1.0,0.0597014925373,0.529850746269,0.112676056338,0.181818181818,0.22040247917175293
RF,"{'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",1.0,0.0597014925373,0.529850746269,0.112676056338,0.181818181818,0.258467435836792
RF,"{'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 1}",1.0,0.0597014925373,0.529850746269,0.112676056338,0.181818181818,0.10877871513366699
RF,"{'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 10}",0.863636363636,0.850746268657,0.475373134328,0.857142857143,0.753246753247,0.22028231620788574
RF,"{'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",1.0,0.0597014925373,0.529850746269,0.112676056338,0.181818181818,0.25765252113342285
RF,"{'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1}",0.87012987013,1.0,0.5,0.930555555556,0.87012987013,0.10755109786987305
RF,"{'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 10}",0.864864864865,0.955223880597,0.477611940299,0.90780141844,0.831168831169,0.21452546119689941
RF,"{'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",1.0,0.0597014925373,0.529850746269,0.112676056338,0.181818181818,0.2565450668334961
RF,"{'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 1}",0.866666666667,0.970149253731,0.485074626866,0.915492957746,0.844155844156,0.10938811302185059
RF,"{'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 10}",0.8,0.0597014925373,0.479850746269,0.111111111111,0.168831168831,0.21815013885498047
RF,"{'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",1.0,0.0597014925373,0.529850746269,0.112676056338,0.181818181818,0.263256311416626
RF,"{'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 1}",0.87012987013,1.0,0.5,0.930555555556,0.87012987013,0.10936427116394043
RF,"{'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 10}",0.878378378378,0.970149253731,0.535074626866,0.921985815603,0.857142857143,0.21804022789001465
